feature,importance_mean,importance_std
evo2_905,0.0005020080321285018,0.0013656094888288264
evo2_459,0.0003012048192771011,0.0011922030207869101
evo2_954,0.0,0.0
evo2_1023,0.0,0.0
evo2_992,0.0,0.0
evo2_1007,0.0,0.0
evo2_1006,0.0,0.0
evo2_1005,0.0,0.0
evo2_1004,0.0,0.0
evo2_1003,0.0,0.0
evo2_1002,0.0,0.0
evo2_1001,0.0,0.0
evo2_1597,0.0,0.0
evo2_1596,0.0,0.0
evo2_1592,0.0,0.0
evo2_997,0.0,0.0
evo2_996,0.0,0.0
evo2_995,0.0,0.0
evo2_994,0.0,0.0
evo2_993,0.0,0.0
evo2_1578,0.0,0.0
evo2_1576,0.0,0.0
evo2_1590,0.0,0.0
evo2_1008,0.0,0.0
evo2_1573,0.0,0.0
evo2_1035,0.0,0.0
evo2_1034,0.0,0.0
evo2_1032,0.0,0.0
evo2_1046,0.0,0.0
evo2_1045,0.0,0.0
